"","year","accomplishment","person","gender","category","female","row_num","p_count","p_flag","person_c"
"305",1975,"First African-American model on the cover of Elle magazine","Beverly Johnson","African-American Firsts","Arts & Entertainment",0,305,0,0,"Beverly Johnson"
"306",1975,"First African-American psychologist in the U.S. Navy","John D. Robinson","African-American Firsts","Military",0,306,1,0,"John D. Robinson"
"307",1975,"First African-American to play in a men's major golf championship","Lee Elder","African-American Firsts","Sports",0,307,0,0,"Lee Elder"
"308",1975,"First African-American to be named Super Bowl MVP in NFL","Franco Harris","African-American Firsts","Education & Science",0,308,0,0,"Franco Harris"
"309",1975,"First African-American women named as Time magazine's Person of the Year","Barbara Jordan and Addie L. Wyatt","African-American Firsts","Arts & Entertainment",0,309,1,0,"Barbara Jordan and Addie L. Wyatt"
"310",1976,"First African-American woman elected officer of international labor union","Addie L. Wyatt","Female African American Firsts","Military",1,310,1,0,"Addie L. Wyatt"
"311",1976,"First African-American appointed as a judge in Federal District Court in Virginia","Robert H. Cooley III","African-American Firsts","Law",0,311,1,0,"Robert H. Cooley III"
"312",1977,"First African-American, and first woman, appointed director of the Peace Corps","Carolyn R. Payton","Female African American Firsts","Arts & Entertainment",1,312,1,0,"Carolyn R. Payton"
"313",1977,"First African-American drafted to play professional basketball, first woman to dunk in a professional women's game","Cardte Hicks","Female African American Firsts","Education & Science",1,313,0,0,"Cardte Hicks"
"314",1977,"First African-American woman in the U.S. Cabinet","Patricia Roberts Harris, Secretary of Housing and Urban Development","Female African American Firsts","Politics",1,314,0,0,"Patricia Roberts Harris, Secretary of Housing and Urban Development"
"315",1977,"First African-American woman whose signature appeared on U.S. currency","Azie Taylor Morton, the 36th Treasurer of the United States","Female African American Firsts","Social & Jobs",1,315,0,0,"Azie Taylor Morton, the 36th Treasurer of the United States"
"316",1977,"First African-American publisher of mainstream gay publication","Alan Bell","Female African American Firsts","Arts & Entertainment",1,316,0,0,"Alan Bell"
"317",1977,"First African-American woman to join the Daughters of the American Revolution","Karen Batchelor","Female African American Firsts","Social & Jobs",1,317,0,0,"Karen Batchelor"
"318",1977,"First African-American Major League Baseball general manager","Bill Lucas","African-American Firsts","Military",0,318,0,0,"Bill Lucas"
"319",1977,"First African-American woman to be ordained as an Episcopal priest","Pauli Murray","Female African American Firsts","Religion",1,319,1,0,"Pauli Murray"
"320",1978,"First African-American broadcast network news anchor","Max Robinson","African-American Firsts","Arts & Entertainment",0,320,0,0,"Max Robinson"
"321",1978,"First African-American woman pilot for a major commercial airline","Jill E. Brown, Texas International Airlines","Female African American Firsts","Social & Jobs",1,321,1,0,"Jill E. Brown, Texas International Airlines"
"322",1979,"First African-American U.S. Marine Corps general officer","Frank E. Petersen","African-American Firsts","Military",0,322,1,0,"Frank E. Petersen"
"323",1979,"First African-American to win a Daytime Emmy Award for lead actor in a soap opera","Al Freeman Jr.","African-American Firsts","Arts & Entertainment",0,323,1,1,"Al Freeman Jr.."
"324",1979,"First African-American woman ordained in the Lutheran Church in America ","Earlean Miller","Female African American Firsts","Religion",1,324,0,0,"Earlean Miller"
"325",1979,"First African-American head coach of a NCAA Division I-A football program","Willie Jeffries","African-American Firsts","Sports",0,325,0,0,"Willie Jeffries"
"326",1980,"First African-American-oriented cable channel","BET","African-American Firsts","Arts & Entertainment",0,326,0,0,"BET"
"327",1981,"First African-American to play in the NHL","Val James","African-American Firsts","Sports",0,327,0,0,"Val James"
"328",1982,"First African-American to receive the Pulitzer Prize for Drama","Charles Fuller for A Soldier's Play","African-American Firsts","Arts & Entertainment",0,328,0,0,"Charles Fuller for A Soldier's Play"
"329",1982,"First African-American inducted to the Basketball Hall of Fame as a coach","Clarence Gaines","African-American Firsts","Education & Science",0,329,0,0,"Clarence Gaines"
"330",1982,"First African-American U.S. Army four-star General","Roscoe Robinson Jr","African-American Firsts","Military",0,330,1,1,"Roscoe Robinson Jr."
"331",1982,"First African-American woman to become a principal dancer of a major American ballet company","Debra Austin at Pennsylvania Ballet","Female African American Firsts","Arts & Entertainment",1,331,0,0,"Debra Austin at Pennsylvania Ballet"
"332",1983,"First African-American astronaut","Guion Bluford","African-American Firsts","Education & Science",0,332,0,0,"Guion Bluford"
"333",1983,"First African-American mayor of Chicago","Harold Washington","African-American Firsts","Politics",0,333,0,0,"Harold Washington"
"334",1983,"First African-American Miss America","Vanessa L. Williams","African-American Firsts","Social & Jobs",0,334,1,0,"Vanessa L. Williams"
"335",1983,"First African-American owners of a major metropolitan newspaper","Robert C. and Nancy Hicks Maynard,","African-American Firsts","Social & Jobs",0,335,1,0,"Robert C. and Nancy Hicks Maynard,"
"336",1983,"First African-American artist to have a video shown on MTV","Michael Jackson","African-American Firsts","Arts & Entertainment",0,336,0,0,"Michael Jackson"
"337",1984,"First African-American to win a delegate-awarding U.S. presidential primary/caucus","Jesse Jackson","African-American Firsts","Politics",0,337,0,0,"Jesse Jackson"
"338",1984,"First African-American New York City Police Commissioner","Benjamin Ward","African-American Firsts","Law",0,338,0,0,"Benjamin Ward"
"339",1985,"First African-American to become a member of the U.S. Navy's Blue Angels precision flying team","Donnie Cochran. Also first African-American to command the team","African-American Firsts","Military",0,339,1,0,"Donnie Cochran. Also first African-American to command the team"
"340",1985,"First African-American woman general","Sherian Cadoria","Female African American Firsts","Military",1,340,0,0,"Sherian Cadoria"
"341",1986,"First African-American Formula One racecar driver","Willy T. Ribbs","African-American Firsts","Sports",0,341,1,0,"Willy T. Ribbs"
"342",1986,"First African-American musicians inducted into the Rock and Roll Hall of Fame, in the inaugural class","Chuck Berry, James Brown, Ray Charles, Sam Cooke, Fats Domino, and Little Richard","African-American Firsts","Arts & Entertainment",0,342,0,1,"Chuck Berry, James Brown, Ray Charles, Sam Cooke, Fats Domino, and Little Richard."
"343",1987,"First African-American woman, and first woman, inducted into the Rock and Roll Hall of Fame","Aretha Franklin","Female African American Firsts","Arts & Entertainment",1,343,0,0,"Aretha Franklin"
"344",1987,"First African-American Radio City Music Hall Rockette","Jennifer Jones","African-American Firsts","Arts & Entertainment",0,344,0,0,"Jennifer Jones"
"345",1987,"First African-American man to sail around the world","Teddy Seymour","African-American Firsts","Social & Jobs",0,345,0,0,"Teddy Seymour"
"346",1988,"First African-American woman elected to a U.S. judgeship, and first appointed to a state supreme court","Juanita Kidd Stout","Female African American Firsts","Law",1,346,0,0,"Juanita Kidd Stout"
"347",1988,"First African-American candidate for President of the United States to obtain ballot access in all 50 states","Lenora Fulani","African-American Firsts","Education & Science",0,347,0,0,"Lenora Fulani"
"348",1988,"First African-American NFL referee","Johnny Grier","African-American Firsts","Sports",0,348,0,0,"Johnny Grier"
"349",1988,"First African-American NFL starting quarterback to win a Super Bowl","Doug Williams","African-American Firsts","Sports",0,349,0,0,"Doug Williams"
"350",1989,"First African-American NFL coach of the modern era","Art Shell, Los Angeles Raiders","African-American Firsts","Education & Science",0,350,0,0,"Art Shell, Los Angeles Raiders"
"351",1989,"First African-American mayor of New York City","David Dinkins","African-American Firsts","Politics",0,351,0,0,"David Dinkins"
"352",1989,"First African-American Chairman of the Joint Chiefs of Staff","Colin Powell","African-American Firsts","Politics",0,352,0,0,"Colin Powell"
"353",1989,"First African-American woman, and first woman, ordained bishop in the Episcopal Church","Barbara Clementine Harris","Female African American Firsts","Religion",1,353,0,0,"Barbara Clementine Harris"
"354",1989,"First African-American Chairman of the Democratic National Committee","Ron Brown","African-American Firsts","Politics",0,354,0,0,"Ron Brown"
"355",1990,"First elected African-American governor","Douglas Wilder","African-American Firsts","Politics",0,355,0,0,"Douglas Wilder"
"356",1990,"First African-American elected president of the Harvard Law Review","Barack Obama","African-American Firsts","Law",0,356,0,0,"Barack Obama"
"357",1990,"First African-American Miss USA","Carole Gist","African-American Firsts","Social & Jobs",0,357,0,0,"Carole Gist"
"358",1990,"First African-American Playboy Playmate of the Year","Renee Tenison","African-American Firsts","Social & Jobs",0,358,0,0,"Renee Tenison"
"359",1990,"First African-American woman to become a principal dancer at Houston Ballet","Lauren Anderson","Female African American Firsts","Arts & Entertainment",1,359,0,0,"Lauren Anderson"
"360",1991,"First African-American nominated for the Academy Award for Best Director","John Singleton for Boyz n the Hood","African-American Firsts","Arts & Entertainment",0,360,0,0,"John Singleton for Boyz n the Hood"
"361",1991,"First African-American to qualify for the Indianapolis 500 auto race","Willy T. Ribbs","African-American Firsts","Sports",0,361,1,0,"Willy T. Ribbs"
"362",1991,"First African-American woman mayor of Washington, D.C.","Sharon Pratt Kelly","Female African American Firsts","Politics",1,362,0,0,"Sharon Pratt Kelly"
"363",1991,"First African-American NBA Coach of the Year","Don Chaney","African-American Firsts","Sports",0,363,0,0,"Don Chaney"
"364",1992,"First African-American woman astronaut","Dr. Mae Jemison","Female African American Firsts","Education & Science",1,364,1,0,"Dr. Mae Jemison"
"365",1992,"First African-American woman elected to U.S. Senate","Carol Moseley Braun","Female African American Firsts","Politics",1,365,0,0,"Carol Moseley Braun"
"366",1992,"First African-American woman to moderate a Presidential debate","Carole Simpson","Female African American Firsts","Education & Science",1,366,0,0,"Carole Simpson"
"367",1992,"First African-American Major League Baseball manager to reach ","Cito Gaston","African-American Firsts","Education & Science",0,367,0,0,"Cito Gaston"
"368",1993,"First African-American woman appointed U.S. Secretary of Energy","Hazel R. O'Leary","Female African American Firsts","Politics",1,368,1,0,"Hazel R. O'Leary"
"369",1993,"First African-American to win the Nobel Prize for Literature","Toni Morrison","African-American Firsts","Education & Science",0,369,0,0,"Toni Morrison"
"370",1993,"First African-American woman named Poet Laureate of the United States","Rita Dove; also the youngest person named to that position","Female African American Firsts","Education & Science",1,370,0,0,"Rita Dove; also the youngest person named to that position"
"371",1993,"First African-American appointed Surgeon General of the United States","Joycelyn Elders","African-American Firsts","Military",0,371,0,0,"Joycelyn Elders"
"372",1993,"First African-American appointed Director of the National Drug Control Policy","Lee P. Brown","African-American Firsts","Arts & Entertainment",0,372,1,0,"Lee P. Brown"
"373",1993,"First African-American United States Secretary of Commerce","Ron Brown","African-American Firsts","Politics",0,373,0,0,"Ron Brown"
"374",1993,"First African-American to serve as home plate umpire for World Series game","Charlie Williams for Game 4 of the 1993 World Series","African-American Firsts","Military",0,374,0,0,"Charlie Williams for Game 4 of the 1993 World Series"
"375",1993,"First African-American to be inducted as a member of the Grand Ole Opry","Charley Pride","African-American Firsts","Arts & Entertainment",0,375,0,0,"Charley Pride"
"376",1994,"First African-American woman director of a major-studio movie","Darnell Martin","Female African American Firsts","Arts & Entertainment",1,376,0,0,"Darnell Martin"
"377",1994,"First African-American to win the United States Amateur Championship","Tiger Woods","African-American Firsts","Politics",0,377,0,0,"Tiger Woods"
"378",1995,"First African-American inductee to the National Radio Hall of Fame","Hal Jackson","African-American Firsts","Arts & Entertainment",0,378,0,0,"Hal Jackson"
"379",1995,"First African-American Sergeant Major of the Army","Gene C. McKinney","African-American Firsts","Military",0,379,1,0,"Gene C. McKinney"
"380",1995,"First African-American Miss Universe","Chelsi Smith","African-American Firsts","Social & Jobs",0,380,0,0,"Chelsi Smith"
